MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_NEW,VALUE_OLD
010,EINKBELEG,0072097762,0062681359,EKPO,010007209776200010,NETPR,U,    15200.00,    14000.00
010,EINKBELEG,0072097762,0062681359,EKPO,010007209776200010,NETWR,U,      15200.00,      14000.00
010,EINKBELEG,0072097762,0062681359,EKPO,010007209776200020,NETPR,U,     3200.00,     4400.00
010,EINKBELEG,0072097762,0062681359,EKPO,010007209776200020,NETWR,U,       3200.00,       4400.00
010,EINKBELEG,0072097762,0062681806,EKPO,010007209776200020,NETPR,U,      850.00,     3200.00
010,EINKBELEG,0072097762,0062681806,EKPO,010007209776200020,NETWR,U,        850.00,       3200.00
010,EINKBELEG,0072097762,0062681806,EKPO,010007209776200020,TXZ01,U,"HA Brahmsstr-Beethovenstr 82/1, 400H NB","HA Brahmsstr-Beethovenstr, 400H NB"
010,EINKBELEG,0072097762,0062681888,EKPO,010007209776200010,NETPR,U,    14669.23,    15200.00
010,EINKBELEG,0072097762,0062681888,EKPO,010007209776200010,NETWR,U,      14669.23,      15200.00
010,EINKBELEG,0072097579,0062682427,EKPO,010007209757900010,NETPR,U,   703096.80,   697957.35
010,EINKBELEG,0072097579,0062682427,EKPO,010007209757900010,NETWR,U,     703096.80,     697957.35
010,EINKBELEG,0072097441,0062714931,EKPO,010007209744100020,EREKZ,U,X,
010,EINKBELEG,0072099600,0062751403,EKPO,010007209960000020,KEY,I,,
010,EINKBELEG,0072099492,0062914142,EKPO,010007209949200010,EREKZ,U,X,
010,EINKBELEG,0072095499,0062937026,EKPO,010007209549900010,EREKZ,U,X,
010,EINKBELEG,0072097266,0062954454,EKPO,010007209726600010,EREKZ,U,X,
010,EINKBELEG,0072097996,0063024201,EKPO,010007209799600010,NETPR,U,     7678.58,     3839.29
010,EINKBELEG,0072097996,0063024201,EKPO,010007209799600010,NETWR,U,       7678.58,       3839.29
010,EINKBELEG,0072097996,0063024201,EKPO,010007209799600010,TWRKZ,U,2,
010,EINKBELEG,0072097996,0063024201,EKPO,010007209799600010,VRTKZ,U,2,
010,EINKBELEG,0072099649,0063045883,EKPO,010007209964900010,NETPR,U,      183.00,      300.00
010,EINKBELEG,0072099649,0063045883,EKPO,010007209964900010,NETWR,U,        183.00,        300.00
