MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,UDATE,UTIME,TCODE
010,EINKBELEG,0072107914,0076513023,2022-10-25T00:00:00,1970-01-01T12:32:17,ME21N
010,EINKBELEG,0072109402,0076760533,2022-11-18T00:00:00,1970-01-01T06:07:28,ME23N
010,EINKBELEG,0072109409,0076525540,2022-10-26T00:00:00,1970-01-01T13:40:57,ME22N
010,EINKBELEG,0072109409,0076740292,2022-11-16T00:00:00,1970-01-01T14:22:21,ME22N
010,EINKBELEG,0072109409,0076740377,2022-11-16T00:00:00,1970-01-01T14:27:56,ME22N
010,EINKBELEG,0072109409,0076740601,2022-11-16T00:00:00,1970-01-01T14:39:27,ME22N
010,EINKBELEG,0072109409,0076740782,2022-11-16T00:00:00,1970-01-01T14:45:39,ME22N
010,EINKBELEG,0072109409,0076741032,2022-11-16T00:00:00,1970-01-01T15:00:40,ME22N
010,EINKBELEG,0072109409,0076760558,2022-11-18T00:00:00,1970-01-01T06:14:07,ME23N
010,EINKBELEG,0072109202,0077217003,2022-12-22T00:00:00,1970-01-01T09:01:55,ME23N
010,EINKBELEG,0072110742,0076752528,2022-11-17T00:00:00,1970-01-01T12:16:34,ME23N
010,EINKBELEG,0072110742,0077138000,2022-12-14T00:00:00,1970-01-01T19:01:13,ME23N
010,EINKBELEG,0072110742,0077165706,2022-12-16T00:00:00,1970-01-01T14:25:56,ME23N
010,EINKBELEG,0072110742,0077165820,2022-12-16T00:00:00,1970-01-01T14:32:16,ME23N
010,EINKBELEG,0072110742,0077175097,2022-12-19T00:00:00,1970-01-01T09:15:12,ME23N
010,EINKBELEG,0072110966,0076905243,2022-11-30T00:00:00,1970-01-01T12:45:56,ME23N
010,EINKBELEG,0072111961,0076330572,2022-10-07T00:00:00,1970-01-01T12:05:25,ME23N
010,EINKBELEG,0072111961,0077140688,2022-12-15T00:00:00,1970-01-01T07:42:51,ME23N
010,EINKBELEG,0072111961,0077141756,2022-12-15T00:00:00,1970-01-01T09:01:42,ME22N
010,EINKBELEG,0072111995,0076052218,2022-09-12T00:00:00,1970-01-01T11:10:27,ME23N
010,EINKBELEG,0072111995,0076052237,2022-09-12T00:00:00,1970-01-01T11:10:10,ME23N
010,EINKBELEG,0072111995,0077235227,2022-12-22T00:00:00,1970-01-01T11:51:20,ME23N
